matchup,seed,player_name,agent_name,won,score,tickets_completed,tickets_total,ticket_completion_rate,avg_ticket_progress,avg_route_points,claimed_routes,avg_decision_time_ms,illegal_move_count,prevented_illegal_claims_avg,game_length_turns
symbolic_vs_hybrid,112,hybrid,hybrid,0,0,0,2,0.0,0.35466269841269843,2.125,8,2.595116666472879,0,40.44444444444444,35
symbolic_vs_hybrid,113,symbolic,symbolic,1,27,1,2,0.5,0.5145089285714286,2.625,8,2.297381249832142,0,39.3125,31
symbolic_vs_hybrid,113,hybrid,hybrid,0,-15,0,3,0.0,0.2562830687830688,2.142857142857143,7,3.290381249712482,0,39.5625,31
symbolic_vs_hybrid,114,symbolic,symbolic,0,-9,0,3,0.0,0.2632642563198119,2.375,8,2.845799999906578,0,39.44444444444444,34
symbolic_vs_hybrid,114,hybrid,hybrid,1,32,2,3,0.6666666666666666,0.31862745098039214,2.75,8,3.6506117645758955,0,39.588235294117645,34
symbolic_vs_hybrid,115,symbolic,symbolic,0,6,1,3,0.3333333333333333,0.47632971317181844,2.111111111111111,9,3.0554999997739767,0,39.1578947368421,36
symbolic_vs_hybrid,115,hybrid,hybrid,1,49,2,3,0.6666666666666666,0.33796296296296297,3.25,8,3.6682833333543385,0,39.666666666666664,36
symbolic_vs_hybrid,116,symbolic,symbolic,0,5,1,3,0.3333333333333333,0.2502976190476191,2.125,8,2.1492550000402844,0,40.45,38
symbolic_vs_hybrid,116,hybrid,hybrid,1,10,0,3,0.0,0.19407894736842105,3,8,4.610500000030458,0,38.421052631578945,38
symbolic_vs_hybrid,117,symbolic,symbolic,1,14,1,3,0.3333333333333333,0.48293650793650794,2.142857142857143,7,2.1079200001622667,0,40.15,38
symbolic_vs_hybrid,117,hybrid,hybrid,0,1,0,3,0.0,0.3432017543859649,2.625,8,2.487936842570841,0,40.473684210526315,38
symbolic_vs_hybrid,118,symbolic,symbolic,1,37,2,3,0.6666666666666666,0.33749999999999997,3.142857142857143,7,1.6348550001566764,0,40.6,38
symbolic_vs_hybrid,118,hybrid,hybrid,0,18,1,2,0.5,0.42690058479532167,2.111111111111111,9,2.5947578947364636,0,40.421052631578945,38
symbolic_vs_hybrid,119,symbolic,symbolic,0,5,1,3,0.3333333333333333,0.33112874779541446,2.375,8,1.9312476189432866,0,40.42857142857143,40
symbolic_vs_hybrid,119,hybrid,hybrid,1,16,0,2,0.0,0.25357142857142856,2.5555555555555554,9,2.0034299996041227,0,41,40
symbolic_vs_hybrid,120,symbolic,symbolic,1,3,0,3,0.0,0.34925595238095236,2.125,8,4.688084999997955,0,36.55,38
symbolic_vs_hybrid,120,hybrid,hybrid,0,1,0,3,0.0,0.16400375939849623,2.75,8,6.734921052779292,0,37.05263157894737,38
symbolic_vs_hybrid,121,symbolic,symbolic,0,-7,0,3,0.0,0.23043720412141463,2.142857142857143,7,2.564852631526025,0,39.78947368421053,36
symbolic_vs_hybrid,121,hybrid,hybrid,1,50,2,2,1.0,0.6502976190476191,2.625,8,3.6858277775940627,0,39.111111111111114,36
hybrid_vs_random,122,hybrid,hybrid,1,42,2,2,1.0,0.615546218487395,2.111111111111111,9,3.6520117647502475,0,39.470588235294116,33
hybrid_vs_random,122,random,random,0,-47,0,7,0.0,0.08650960384153661,2.2,5,0.06193529417728046,0,40.529411764705884,33
hybrid_vs_random,123,hybrid,hybrid,1,22,1,3,0.3333333333333333,0.3002946127946128,2.4444444444444446,9,2.8052227271473384,0,40.86363636363637,43
